"Sample_ID","Intervention","Type","ShiftStartTime","SampleNumber","PostIntervention","Hygiene1","Hygiene2","Hygiene3","Hygiene4","TeatN","TeatS","TeatR","TeatVR","KickOffs","Sample_Notes","MicroTests_ID","Sample","Test","Rep1","Rep2","Rep3","Rep4","Rep5","Rep6","Rep7","Rep8","Rep9","Rep10","Calculated_Average","Interventions_ID","Visit","Farm","SamplingStartDate","TrainingDate","SamplingEndDate","PredipType","PostdipType","Bleach","Detergent","Dry","Farms_ID","MilkingTimes","FarmID","MicroTests_Notes","DayFromTraining","SamplingDay"
18,1,"BTM",4/7/2017 14:00:00,"18","Yes",,,,,,,,,,,18,18,"MSC",0.00,2.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.70,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,2,2
19,1,"BTM",4/8/2017 22:00:00,"19","Yes",,,,,,,,,,,19,19,"MSC",0.00,2.00,3.00,2.00,1.00,1.00,1.00,1.00,2.00,0.00,1.30,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,3,3
20,1,"BTM",4/9/2017 6:00:00,"20","Yes",,,,,,,,,,,20,20,"MSC",1.00,0.00,0.00,1.00,2.00,1.00,2.00,0.00,0.00,0.00,0.70,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,3,3
21,1,"BTM",4/9/2017 14:00:00,"21","Yes",,,,,,,,,,,21,21,"MSC",0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.30,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,3,3
22,1,"BTM",4/10/2017 22:00:00,"22","Yes",,,,,,,,,,,22,22,"MSC",2.00,2.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.90,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,4,4
23,1,"BTM",4/11/2017 6:00:00,"23","Yes",,,,,,,,,,,23,23,"MSC",1.00,0.00,2.00,0.00,1.00,1.00,0.00,1.00,2.00,1.00,0.90,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,4,4
24,1,"BTM",4/11/2017 14:00:00,"24","Yes",,,,,,,,,,,24,24,"MSC",0.00,1.00,2.00,1.00,0.00,0.00,2.00,2.00,1.00,1.00,1.00,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,4,4
25,1,"Towel",3/29/2017 6:00:00,"1","No",,,,,,,,,,,25,25,"MSC",52.00,112.00,,,,,,,,,,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-4,1
26,1,"Towel",3/31/2017 6:00:00,"2","No",,,,,,,,,,,26,26,"MSC",23.00,24.00,,,,,,,,,,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-3,2
27,1,"Towel",4/2/2017 6:00:00,"3","No",,,,,,,,,,,27,27,"MSC",44.00,64.00,,,,,,,,,,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-2,3
28,1,"Towel",4/4/2017 6:00:00,"4","No",,,,,,,,,,,28,28,"MSC",118.00,51.00,,,,,,,,,,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-1,4
29,1,"Towel",4/5/2017 6:00:00,"5","Yes",,,,,,,,,,,29,29,"MSC",27.00,33.00,,,,,,,,,,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,1,1
30,1,"Towel",4/7/2017 6:00:00,"6","Yes",,,,,,,,,,,30,30,"MSC",8.00,14.00,,,,,,,,,,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,2,2
31,1,"Towel",4/9/2017 6:00:00,"7","Yes",,,,,,,,,,,31,31,"MSC",18.00,12.00,,,,,,,,,,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,3,3
32,1,"Towel",4/11/2017 6:00:00,"8","Yes",,,,,,,,,,,32,32,"MSC",15.00,16.00,,,,,,,,,,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,4,4
1,1,"BTM",3/28/2017 14:00:00,"1","No",,,,,,,,,,,33,1,"TSC",3.00,3.00,0.00,1.00,1.00,2.00,4.00,2.00,2.00,0.00,1.80,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-4,1
2,1,"BTM",3/28/2017 22:00:00,"2","No",,,,,,,,,,,34,2,"TSC",4.00,1.00,0.00,1.00,4.00,3.00,1.00,3.00,3.00,3.00,2.30,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-4,1
3,1,"BTM",3/29/2017 6:00:00,"3","No",,,,,,,,,,,35,3,"TSC",2.00,0.00,1.00,2.00,1.00,1.00,0.00,3.00,5.00,1.00,1.60,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-4,1
4,1,"BTM",3/30/2017 14:00:00,"4","No",,,,,,,,,,,36,4,"TSC",2.00,1.00,1.00,1.00,2.00,0.00,4.00,1.00,3.00,0.00,1.50,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-3,2
5,1,"BTM",3/30/2017 22:00:00,"5","No",,,,,,,,,,,37,5,"TSC",3.00,3.00,4.00,2.00,1.00,1.00,2.00,2.00,4.00,1.00,2.30,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-3,2
6,1,"BTM",3/31/2017 6:00:00,"6","No",,,,,,,,,,,38,6,"TSC",0.00,0.00,0.00,4.00,4.00,1.00,1.00,0.00,0.00,1.00,1.10,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-3,2
7,1,"BTM",4/1/2017 14:00:00,"7","No",,,,,,,,,,,39,7,"TSC",0.00,0.00,0.00,1.00,0.00,2.00,2.00,0.00,5.00,2.00,1.20,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-2,3
8,1,"BTM",4/1/2017 22:00:00,"8","No",,,,,,,,,,,40,8,"TSC",3.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,1.00,3.00,1.90,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-2,3
9,1,"BTM",4/2/2017 6:00:00,"9","No",,,,,,,,,,,41,9,"TSC",0.00,0.00,0.00,2.00,2.00,1.00,1.00,2.00,0.00,0.00,0.80,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-2,3
10,1,"BTM",4/3/2017 14:00:00,"10","No",0,81,34,1,86,211,148,21,16,,44,10,"TSC",1.00,3.00,5.00,1.00,3.00,2.00,1.00,3.00,1.00,1.00,2.10,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-1,4
11,1,"BTM",4/3/2017 22:00:00,"11","No",29,69,12,0,99,178,65,18,0,,45,11,"TSC",1.00,3.00,2.00,3.00,1.00,2.00,1.00,1.00,1.00,1.00,1.60,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-1,4
12,1,"BTM",4/4/2017 6:00:00,"12","No",0,77,29,3,40,242,116,40,10,,46,12,"TSC",2.00,0.00,0.00,2.00,0.00,2.00,0.00,1.00,0.00,1.00,0.80,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-1,4
13,1,"BTM",4/4/2017 22:00:00,"13","Yes",28,69,12,0,124,196,95,19,8,,47,13,"TSC",0.00,2.00,0.00,1.00,2.00,0.00,0.00,0.00,4.00,0.00,0.90,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,1,1
14,1,"BTM",4/5/2017 6:00:00,"14","Yes",5,51,47,5,102,187,135,23,11,,48,14,"TSC",0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,2.00,0.00,0.60,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,1,1
15,1,"BTM",4/5/2017 14:00:00,"15","Yes",24,74,9,1,136,186,95,27,6,,49,15,"TSC",0.00,2.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.50,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,1,1
16,1,"BTM",4/6/2017 22:00:00,"16","Yes",,,,,,,,,,,50,16,"TSC",1.00,2.00,5.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,1.20,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,2,2
17,1,"BTM",4/7/2017 6:00:00,"17","Yes",,,,,,,,,,,51,17,"TSC",1.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,3.00,0.00,0.80,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,2,2
18,1,"BTM",4/7/2017 14:00:00,"18","Yes",,,,,,,,,,,52,18,"TSC",0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.50,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,2,2
19,1,"BTM",4/8/2017 22:00:00,"19","Yes",,,,,,,,,,,53,19,"TSC",0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.40,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,3,3
20,1,"BTM",4/9/2017 6:00:00,"20","Yes",,,,,,,,,,,54,20,"TSC",1.00,1.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,0.50,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,3,3
21,1,"BTM",4/9/2017 14:00:00,"21","Yes",,,,,,,,,,,55,21,"TSC",1.00,0.00,1.00,1.00,1.00,0.00,0.00,3.00,0.00,1.00,0.80,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,3,3
22,1,"BTM",4/10/2017 22:00:00,"22","Yes",,,,,,,,,,,56,22,"TSC",3.00,1.00,1.00,2.00,2.00,1.00,0.00,0.00,1.00,2.00,1.30,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,4,4
23,1,"BTM",4/11/2017 6:00:00,"23","Yes",,,,,,,,,,,57,23,"TSC",1.00,1.00,0.00,1.00,1.00,0.00,2.00,0.00,1.00,0.00,0.70,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,4,4
24,1,"BTM",4/11/2017 14:00:00,"24","Yes",,,,,,,,,,,58,24,"TSC",1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,0.00,1.10,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,4,4
25,1,"Towel",3/29/2017 6:00:00,"1","No",,,,,,,,,,,59,25,"TSC",11.00,10.00,,,,,,,,,,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-4,1
26,1,"Towel",3/31/2017 6:00:00,"2","No",,,,,,,,,,,60,26,"TSC",10.00,3.00,,,,,,,,,,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-3,2
27,1,"Towel",4/2/2017 6:00:00,"3","No",,,,,,,,,,,61,27,"TSC",10.00,8.00,,,,,,,,,,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-2,3
28,1,"Towel",4/4/2017 6:00:00,"4","No",,,,,,,,,,,62,28,"TSC",9.00,10.00,,,,,,,,,,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-1,4
29,1,"Towel",4/5/2017 6:00:00,"5","Yes",,,,,,,,,,,63,29,"TSC",10.00,7.00,,,,,,,,,,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,1,1
30,1,"Towel",4/7/2017 6:00:00,"6","Yes",,,,,,,,,,,64,30,"TSC",7.00,5.00,,,,,,,,,,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,2,2
31,1,"Towel",4/9/2017 6:00:00,"7","Yes",,,,,,,,,,,65,31,"TSC",6.00,5.00,,,,,,,,,,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,3,3
32,1,"Towel",4/11/2017 6:00:00,"8","Yes",,,,,,,,,,,66,32,"TSC",9.00,6.00,,,,,,,,,,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,4,4
1,1,"BTM",3/28/2017 14:00:00,"1","No",,,,,,,,,,,67,1,"PSC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-4,1
2,1,"BTM",3/28/2017 22:00:00,"2","No",,,,,,,,,,,68,2,"PSC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-4,1
3,1,"BTM",3/29/2017 6:00:00,"3","No",,,,,,,,,,,69,3,"PSC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-4,1
4,1,"BTM",3/30/2017 14:00:00,"4","No",,,,,,,,,,,70,4,"PSC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-3,2
5,1,"BTM",3/30/2017 22:00:00,"5","No",,,,,,,,,,,71,5,"PSC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-3,2
6,1,"BTM",3/31/2017 6:00:00,"6","No",,,,,,,,,,,72,6,"PSC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-3,2
7,1,"BTM",4/1/2017 14:00:00,"7","No",,,,,,,,,,,73,7,"PSC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-2,3
8,1,"BTM",4/1/2017 22:00:00,"8","No",,,,,,,,,,,74,8,"PSC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-2,3
9,1,"BTM",4/2/2017 6:00:00,"9","No",,,,,,,,,,,75,9,"PSC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-2,3
10,1,"BTM",4/3/2017 14:00:00,"10","No",0,81,34,1,86,211,148,21,16,,76,10,"PSC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-1,4
11,1,"BTM",4/3/2017 22:00:00,"11","No",29,69,12,0,99,178,65,18,0,,77,11,"PSC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-1,4
12,1,"BTM",4/4/2017 6:00:00,"12","No",0,77,29,3,40,242,116,40,10,,78,12,"PSC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-1,4
